ŝtatisto	ŝtat'ist'o
ŝtatistoj	ŝtat'ist'o'j
ŝtatistarto	ŝtat'ist'art'o
ŝtatkapitalismo	ŝtat'kapital'ism'o
ŝtatkomisiono	ŝtat'komision'o
ŝtatkomunuma	ŝtat'komun'um'a
ŝtatkomunumaj	ŝtat'komun'um'a'j
ŝtatkomunumo	ŝtat'komun'um'o
ŝtatkontrolo	ŝtat'kontrol'o
ŝtatkontrolita	ŝtat'kontrol'it'a
ŝtatkontrolitaj	ŝtat'kontrol'it'a'j
ŝtatleĝo	ŝtat'leĝ'o
ŝtatleĝoj	ŝtat'leĝ'o'j
ŝtatlernejoj	ŝtat'lern'ej'o'j
ŝtatlimo	ŝtat'lim'o
ŝtatlimoj	ŝtat'lim'o'j
ŝtatmaŝino	ŝtat'maŝin'o
ŝtatministro	ŝtat'ministr'o
ŝtatnaciismo	ŝtat'naci'ism'o
ŝtatnivela	ŝtat'nivel'a
ŝtatnivelaj	ŝtat'nivel'a'j
ŝtatnivelo	ŝtat'nivel'o
ŝtatomembro	ŝtat'o'membr'o
ŝtatofico	ŝtat'ofic'o
ŝtatoficisto	ŝtat'ofic'ist'o
ŝtatoficistoj	ŝtat'ofic'ist'o'j
ŝtatoficistojn	ŝtat'ofic'ist'o'j'n
ŝtatoficistaro	ŝtat'ofic'ist'ar'o
